SexInsured,Female,VehicleType,PC,Clm_Count,Exp_weights,LNWEIGHT,NCD,AgeCat,AutoAge0,AutoAge1,AutoAge2,AutoAge,VAgeCat,VAgecat1
U,0,T,0,0,0.668035592,-0.403413825,30,0,0,0,0,0,0,2
U,0,T,0,0,0.566735113,-0.567863257,30,0,0,0,0,0,0,2
U,0,T,0,0,0.503764545,-0.685646293,30,0,0,0,0,0,0,2
U,0,T,0,0,0.914442163,-0.089441058,20,0,0,0,0,0,0,2
U,0,T,0,0,0.536618754,-0.622467391,20,0,0,0,0,0,0,2
U,0,T,0,0,0.752908967,-0.283810953,20,0,0,0,0,0,0,2
U,0,M,0,0,0.670773443,-0.39932384,20,0,0,0,0,0,6,6
U,0,M,0,0,0.837782341,-0.176996949,20,0,0,0,0,0,6,6
U,0,M,0,0,0.167008898,-1.789708186,20,0,0,0,0,0,6,6
U,0,M,0,0,0.503764545,-0.685646293,20,0,0,0,0,0,6,6
U,0,M,0,0,0.435318275,-0.831677848,20,0,0,0,0,0,6,6
U,0,M,0,0,0.605065024,-0.502419349,20,0,0,0,0,0,6,6
U,0,M,0,0,0.167008898,-1.789708186,20,0,0,0,0,0,6,6
U,0,M,0,0,0.503764545,-0.685646293,20,0,0,0,0,0,6,6
U,0,M,0,0,0.585900068,-0.534606036,20,0,0,0,0,0,6,6
U,0,M,0,0,0.670773443,-0.39932384,20,0,0,0,0,0,5,5
U,0,M,0,0,0.167008898,-1.789708186,20,0,0,0,0,0,5,5
U,0,M,0,0,0.914442163,-0.089441058,10,0,0,0,0,0,5,5
U,0,M,0,0,0.999315537,-0.000684697,10,0,0,0,0,0,5,5
U,0,M,0,0,0.670773443,-0.39932384,10,0,0,0,0,0,5,5
U,0,M,0,0,0.837782341,-0.176996949,20,0,0,0,0,0,5,5
U,0,M,0,0,0.752908967,-0.283810953,20,0,0,0,0,0,5,5
U,0,M,0,0,0.752908967,-0.283810953,20,0,0,0,0,0,5,5
U,0,M,0,0,0.503764545,-0.685646293,20,0,0,0,0,0,5,5
U,0,M,0,0,0.906228611,-0.098463675,0,0,0,0,0,0,3,3
U,0,M,0,0,0.670773443,-0.39932384,20,0,0,0,0,0,5,5
U,0,M,0,0,0.585900068,-0.534606036,20,0,0,0,0,0,5,5
U,0,M,0,0,0.720054757,-0.328428018,0,0,0,0,0,0,5,5
U,0,M,0,0,0.670773443,-0.39932384,20,0,0,0,0,0,5,5
U,0,M,0,0,0.585900068,-0.534606036,20,0,0,0,0,0,5,5
U,0,M,0,0,0.224503765,-1.493862803,20,0,0,0,0,0,5,5
U,0,M,0,0,0.914442163,-0.089441058,20,0,0,0,0,0,5,5
U,0,M,0,0,0.34770705,-1.056394964,0,0,0,0,0,0,5,5
M,0,A,1,0,0.41889117,-0.870144129,40,3,0,0,0,0,6,6
M,0,A,1,0,0.084873374,-2.466594846,20,4,1,0,0,1,0,2
M,0,A,1,0,0.837782341,-0.176996949,50,5,1,0,0,1,0,2
M,0,A,1,0,0.547570157,-0.602264684,10,4,0,0,0,0,6,6
M,0,A,1,1,0.895277207,-0.11062188,20,3,0,0,0,0,6,6
M,0,A,1,1,0.851471595,-0.160789138,30,3,1,0,0,1,0,2
M,0,A,1,0,0.334017796,-1.096561006,50,5,0,0,0,0,6,6
M,0,A,1,0,0.752908967,-0.283810953,50,6,0,0,0,0,6,6
F,1,A,1,1,0.914442163,-0.089441058,50,4,0,0,1,1,2,2
M,0,A,1,0,0.999315537,-0.000684697,20,3,0,0,0,0,6,6
M,0,A,1,0,0.665297741,-0.407520607,30,4,1,0,0,1,0,2
F,1,A,1,0,0.999315537,-0.000684697,0,7,0,0,0,0,6,6
M,0,A,1,0,0.240930869,-1.423245236,0,3,0,0,1,1,2,2
M,0,A,1,0,0.837782341,-0.176996949,50,3,0,0,0,0,6,6
F,1,A,1,0,0.334017796,-1.096561006,50,4,0,0,1,1,2,2
M,0,A,1,0,0.90349076,-0.101489396,0,4,0,0,0,0,6,6
M,0,A,1,0,0.254620123,-1.367982557,30,3,0,0,0,0,6,6
M,0,A,1,0,0.167008898,-1.789708186,50,4,0,0,0,0,6,6
F,1,A,1,0,0.405201917,-0.903369777,0,4,0,0,0,0,6,6
M,0,A,1,0,0.503764545,-0.685646293,20,3,0,0,0,0,6,6
F,1,A,1,0,0.999315537,-0.000684697,50,4,0,0,0,0,6,6
M,0,A,1,0,0.670773443,-0.39932384,40,4,0,0,0,0,6,6
M,0,A,1,0,0.334017796,-1.096561006,10,4,0,0,0,0,6,6
M,0,A,1,0,0.328542095,-1.113090308,10,4,0,0,0,0,6,6
M,0,A,1,0,0.813141684,-0.206849912,10,3,0,0,1,1,2,2
M,0,A,1,0,0.919917865,-0.083470891,0,3,0,0,0,0,6,6
M,0,A,1,0,0.914442163,-0.089441058,50,3,1,0,0,1,0,2
M,0,A,1,0,0.908966461,-0.095447082,50,6,0,0,0,0,6,6
M,0,A,1,0,0.271047228,-1.3054622,0,3,1,0,0,1,0,2
M,0,A,1,0,0.862422998,-0.148009412,50,3,1,0,0,1,0,2
M,0,A,1,0,0.837782341,-0.176996949,10,4,0,0,0,0,6,6
M,0,A,1,0,0.569472964,-0.563043971,0,2,1,0,0,1,0,2
M,0,A,1,0,0.982888433,-0.017259662,0,4,1,0,0,1,0,2
M,0,A,1,0,0.583162218,-0.539289885,0,3,1,0,0,1,0,2
M,0,A,1,0,0.167008898,-1.789708186,50,3,1,0,0,1,0,2
