VIN,Territory,Class,Loss1,Loss2
19UUA5640XA007851,4,A,0,0
19UUA5640XA020213,6,A,0,0
19UUA5641XA021080,2,A,0,0
19UUA5641XA033164,1,A,0,0
19UUA5642XA053147,3,A,0,0
19UUA5643XA020500,2,A,0,0
19UUA5643XA022120,2,A,0,0
19UUA5643XA030623,1,A,0,0
19UUA5644XA022420,3,A,0,0
19UUA5645XA012771,2,S,0,0
19UUA5645XA022572,4,S,0,0
19UUA5645XA044846,2,S,0,0
19UUA5646XA033208,1,S,0,0
19UUA5646XA033242,6,A,0,0
19UUA5646XA036044,1,A,0,0
19UUA5646XA037131,4,A,0,0
19UUA5647XA014652,1,B,0,0
19UUA5647XA017714,3,A,0,0
19UUA5647XA052740,4,A,0,0
19UUA5648XA054156,4,A,0,0
19UUA5649XA007217,3,M,0,0
19UUA5650XA003923,3,A,0,0
19UUA5650XA055424,5,A,0,0
19UUA5657XA045070,4,A,0,0
19UUA5658XA036426,3,M,0,0
19UUA5659XA002480,1,A,0,0
19UUA5659XA002916,2,A,0,0
19UUA5659XA033759,2,A,0,0
19UUA5659XA051467,1,S,0,0
19UUA56601A009673,1,A,0,0
19UUA56602A035921,5,A,0,0
19UUA56603A064398,4,M,0,0
19UUA56603A086594,5,A,0,0
19UUA5660YA035393,1,A,0,0
19UUA5660YA042926,1,A,0,0
19UUA56611A002005,3,M,0,0
19UUA56611A019869,6,A,0,0
19UUA56611A034369,1,B,0,0
19UUA56612A042022,1,A,0,0
19UUA56613A022287,2,I,0,0
19UUA5661YA013306,2,A,0,0
19UUA56621A031190,3,A,0,0
19UUA56622A008218,2,A,0,0
19UUA56622A058553,4,A,0,0
19UUA56623A021116,4,A,0,0
19UUA5662YA045990,2,A,0,0
19UUA56631A027830,2,A,0,0
19UUA56632A011113,1,S,0,0
19UUA56632A048033,4,A,0,0
19UUA56633A027636,2,A,0,0
19UUA56633A028866,1,A,0,0
19UUA56633A039401,4,A,0,0
19UUA5663YA025277,5,A,0,0
19UUA5663YA032715,5,A,0,0
19UUA5663YA041494,2,A,0,0
19UUA56641A029487,5,M,0,0
19UUA56641A029571,1,A,0,0
19UUA56642A002341,4,A,0,0
19UUA56642A051295,4,A,0,0
19UUA56643A015186,1,S,0,0
19UUA56643A017598,1,A,0,0
19UUA56643A017861,4,A,0,0
19UUA56643A052982,5,M,0,0
19UUA56643A088297,1,A,0,0
19UUA5664YA021688,4,B,0,0
19UUA5664YA030200,4,S,0,0
19UUA5664YA058062,6,A,0,0
19UUA56652A023649,6,A,0,0
19UUA56653A073307,1,A,0,0
19UUA56661A003800,4,A,0,0
19UUA56661A028728,4,A,0,0
19UUA56663A061666,3,A,0,0
19UUA56663A064793,1,I,0,0
19UUA5666YA018680,5,A,0,0
19UUA5666YA053705,1,A,0,0
19UUA56671A009377,4,A,0,0
19UUA56673A065869,4,A,0,0
19UUA5667YA021992,4,A,0,0
19UUA5667YA024200,5,A,0,0
19UUA5667YA025718,4,A,0,0
19UUA5667YA048531,2,A,0,0
19UUA5667YA049498,1,A,0,0
19UUA56681A000106,1,A,0,0
19UUA56681A024633,5,A,0,0
19UUA56682A001970,4,A,0,0
19UUA56682A018851,6,M,0,0
19UUA56683A007043,1,A,0,0
19UUA56683A016776,2,A,0,0
19UUA56683A064813,4,A,0,0
19UUA56683A093227,1,A,0,0
19UUA5668YA017126,5,A,0,0
19UUA5668YA019426,1,A,0,0
19UUA5668YA037666,1,A,0,0
19UUA5668YA049431,2,A,0,0
19UUA5668YA049459,5,A,0,0
19UUA5668YA061854,2,A,0,0
19UUA56693A036857,1,A,0,0
19UUA56693A069471,3,A,0,0
19UUA56693A086688,2,A,0,0
19UUA5669YA017281,1,A,0,0
19UUA566X2A024442,4,A,0,0
19UUA566XYA004359,2,A,0,0
19UUA566XYA044991,2,A,0,0
19UUA5670YA047083,3,A,0,0
19UUA56713A089805,1,A,0,0
19UUA56722A018336,2,A,0,0
19UUA5674YA051525,4,M,0,0
19UUA5674YA067224,1,A,0,0
19UUA56752A038872,5,A,0,0
19UUA56773A045114,5,A,0,0
19UUA5679YA005687,2,A,0,0
19UUA56803A020399,4,A,0,0
19UUA56812A060053,5,A,0,0
19UUA56813A037390,4,A,0,0
19UUA56823A013311,3,A,0,0
19UUA56832A036465,5,A,0,0
19UUA56833A006044,2,A,0,0
19UUA56843A007106,4,A,0,0
19UUA56862A026075,6,A,0,0
19UUA56862A042552,6,A,0,0
